,cell_name,predicted_label
5793,5793,CAFs
5794,5794,CAFs
5795,5795,CAFs
5796,5796,B cells
5797,5797,TECs
5798,5798,TECs
5799,5799,Monocytes
5800,5800,TECs
5801,5801,CAFs
5802,5802,CAFs
5803,5803,T cells
5804,5804,CAFs
5805,5805,NK cells
5806,5806,TAMs
5807,5807,TAMs
5808,5808,CAFs
5809,5809,CAFs
5810,5810,B cells
5811,5811,CAFs
5812,5812,NK cells
5813,5813,CAFs
5814,5814,CAFs
5815,5815,TAMs
5816,5816,CAFs
5817,5817,CAFs
5818,5818,T cells
5819,5819,NK cells
5820,5820,Dendritic cells
5821,5821,CAFs
5822,5822,CAFs
5823,5823,B cells
5824,5824,CAFs
5825,5825,CAFs
5826,5826,CAFs
5827,5827,CAFs
5828,5828,CAFs
5829,5829,T cells
5830,5830,TAMs
5831,5831,T cells
5832,5832,CAFs
5833,5833,CAFs
5834,5834,Stellate cells
5835,5835,B cells
5836,5836,CAFs
5837,5837,CAFs
7501,7501,TECs
7502,7502,TECs
7503,7503,Malignant cells
7504,7504,Malignant cells
7505,7505,Malignant cells
7506,7506,Hepatocytes
7507,7507,Malignant cells
7508,7508,Hepatocytes
7509,7509,Malignant cells
7510,7510,Malignant cells
7511,7511,Malignant cells
7512,7512,Malignant cells
7513,7513,Malignant cells
7514,7514,CAFs
7515,7515,Malignant cells
7516,7516,Malignant cells
7517,7517,Malignant cells
7518,7518,Malignant cells
7519,7519,Hepatocytes
7520,7520,Malignant cells
7521,7521,Malignant cells
7522,7522,Hepatocytes
7523,7523,Cholangiocytes
7524,7524,TAMs
7525,7525,Malignant cells
7526,7526,Malignant cells
7527,7527,TECs
7528,7528,TECs
7529,7529,Malignant cells
7530,7530,Malignant cells
7531,7531,T cells
7532,7532,CAFs
7533,7533,Malignant cells
7534,7534,Malignant cells
7535,7535,TECs
7536,7536,Malignant cells
7537,7537,TECs
7538,7538,Malignant cells
7539,7539,CAFs
7540,7540,TECs
7541,7541,Hepatocytes
7542,7542,CAFs
7543,7543,CAFs
7544,7544,Hepatocytes
7545,7545,Hepatocytes
7546,7546,Hepatocytes
7547,7547,Malignant cells
7548,7548,T cells
7549,7549,CAFs
7550,7550,Malignant cells
7551,7551,T cells
7552,7552,Malignant cells
7553,7553,TAMs
7554,7554,T cells
7555,7555,T cells
7556,7556,Malignant cells
7557,7557,Malignant cells
7558,7558,T cells
7559,7559,Malignant cells
7560,7560,Malignant cells
7561,7561,TAMs
7562,7562,Malignant cells
7563,7563,Hepatocytes
7564,7564,Malignant cells
7565,7565,T cells
7566,7566,TECs
7567,7567,Malignant cells
7568,7568,Malignant cells
7569,7569,Hepatocytes
7570,7570,Hepatocytes
7571,7571,CAFs
7572,7572,Malignant cells
7573,7573,Malignant cells
7574,7574,CAFs
7575,7575,CAFs
7576,7576,CAFs
7577,7577,Hepatocytes
7578,7578,Malignant cells
7579,7579,Malignant cells
7580,7580,TECs
7581,7581,Malignant cells
7582,7582,CAFs
7583,7583,Hepatocytes
7584,7584,CAFs
7585,7585,CAFs
7586,7586,CAFs
7587,7587,Malignant cells
7588,7588,TECs
7589,7589,Malignant cells
7590,7590,TECs
7591,7591,CAFs
7592,7592,CAFs
7593,7593,CAFs
7594,7594,T cells
7595,7595,CAFs
7596,7596,CAFs
7597,7597,Malignant cells
7598,7598,Malignant cells
7599,7599,TECs
7600,7600,Malignant cells
7601,7601,Malignant cells
7602,7602,Malignant cells
7603,7603,Malignant cells
7604,7604,Malignant cells
7605,7605,Hepatocytes
7606,7606,Malignant cells
7607,7607,Malignant cells
7608,7608,CAFs
7609,7609,Malignant cells
7610,7610,Malignant cells
7611,7611,Hepatocytes
7612,7612,Malignant cells
7613,7613,Malignant cells
7614,7614,Hepatocytes
7615,7615,Malignant cells
7616,7616,TECs
7617,7617,Hepatocytes
7618,7618,TECs
7619,7619,Malignant cells
7620,7620,Hepatocytes
7621,7621,Malignant cells
7622,7622,Malignant cells
7623,7623,TECs
7624,7624,Malignant cells
7625,7625,Malignant cells
7626,7626,Malignant cells
7627,7627,Malignant cells
7628,7628,Malignant cells
7629,7629,Hepatocytes
7630,7630,Malignant cells
7631,7631,Malignant cells
7632,7632,Malignant cells
7633,7633,Malignant cells
7634,7634,TECs
7635,7635,Malignant cells
7636,7636,CAFs
7637,7637,Malignant cells
7638,7638,Malignant cells
7639,7639,TECs
7640,7640,CAFs
7641,7641,CAFs
7642,7642,CAFs
7643,7643,CAFs
7644,7644,CAFs
7645,7645,CAFs
7646,7646,CAFs
7647,7647,TECs
7648,7648,CAFs
7649,7649,CAFs
7650,7650,Malignant cells
7651,7651,CAFs
7652,7652,TECs
7653,7653,TECs
7654,7654,TECs
7655,7655,TECs
7656,7656,CAFs
7657,7657,Mast cells
7658,7658,CAFs
7659,7659,CAFs
7660,7660,CAFs
7661,7661,CAFs
7662,7662,CAFs
7663,7663,CAFs
7664,7664,CAFs
7665,7665,CAFs
7666,7666,CAFs
7667,7667,CAFs
7668,7668,TECs
7669,7669,TECs
7670,7670,TECs
7671,7671,TECs
7672,7672,Dendritic cells
7673,7673,TECs
7674,7674,T cells
7675,7675,Malignant cells
7676,7676,TECs
7677,7677,TECs
7678,7678,TECs
7679,7679,TECs
7680,7680,CAFs
7681,7681,Hepatocytes
7682,7682,TECs
7683,7683,T cells
7684,7684,TAMs
7685,7685,Malignant cells
7686,7686,TECs
7687,7687,Malignant cells
7688,7688,Malignant cells
7689,7689,Malignant cells
7690,7690,Malignant cells
7691,7691,Malignant cells
7692,7692,Malignant cells
7693,7693,Malignant cells
7694,7694,Malignant cells
7695,7695,Malignant cells
7696,7696,Malignant cells
7697,7697,Malignant cells
7698,7698,Malignant cells
7699,7699,Malignant cells
7700,7700,Malignant cells
7701,7701,Malignant cells
7702,7702,Malignant cells
7703,7703,Malignant cells
7704,7704,Malignant cells
7705,7705,Malignant cells
7706,7706,Malignant cells
7707,7707,Malignant cells
7708,7708,Malignant cells
7709,7709,Malignant cells
7710,7710,Malignant cells
7711,7711,Hepatocytes
7712,7712,Malignant cells
7713,7713,Malignant cells
7714,7714,Malignant cells
7715,7715,Malignant cells
7716,7716,Hepatocytes
7717,7717,Malignant cells
7718,7718,Malignant cells
7719,7719,Malignant cells
7720,7720,Malignant cells
7721,7721,Malignant cells
7722,7722,Malignant cells
7723,7723,Malignant cells
7724,7724,Malignant cells
7725,7725,Malignant cells
7726,7726,Malignant cells
7727,7727,Malignant cells
7728,7728,Hepatocytes
7729,7729,Malignant cells
7730,7730,Malignant cells
7731,7731,Malignant cells
7732,7732,Malignant cells
7733,7733,TAMs
7734,7734,Hepatocytes
7735,7735,Malignant cells
7736,7736,Malignant cells
7737,7737,Malignant cells
7738,7738,Hepatocytes
7739,7739,Malignant cells
7740,7740,Malignant cells
7741,7741,Malignant cells
7742,7742,Hepatocytes
7743,7743,Malignant cells
7744,7744,Malignant cells
